/Phi0 X,/Phi0 Y,/Phi1 X,/Phi1 Y,/Phi2 X,/Phi2 Y,/PhiMSBadd X,/PhiMSBadd Y,/PhiMSBrst X,/PhiMSBrst Y,/Phiacc X,/Phiacc Y,/Phioutadd X,/Phioutadd Y,/Phioutrst X,/Phioutrst Y,/VC0 X,/VC0 Y,/VC1 X,/VC1 Y,/VC2 X,/VC2 Y,/VC3 X,/VC3 Y,/VC4 X,/VC4 Y,/Vcout X,/Vcout Y,/dvalid X,/dvalid Y,/ip X,/ip Y
1.000050906267471e-09,0,1.000050906267471e-09,0,1.000050906267471e-09,0,1.000050906267471e-09,-2.440014053607193e-06,1.000050906267471e-09,-2.847073112474048e-06,1.000050906267471e-09,0,1.000050906267471e-09,-2.847438255363391e-06,1.000050906267471e-09,1,1.000050906267471e-09,1.72873491618549e-05,1.000050906267471e-09,2.404838598654107e-05,1.000050906267471e-09,2.405240481917804e-05,1.000050906267471e-09,2.099618002659498e-05,1.000050906267471e-09,-0.04678579297355174,1.000050906267471e-09,7.190869080831768e-08,1.000050906267471e-09,0,1.000050906267471e-09,0
1.000057042984037e-09,0,1.000057042984037e-09,0,1.000057042984037e-09,0,1.000057042984037e-09,-2.403341709943635e-06,1.000057042984037e-09,-2.83358974755631e-06,1.000057042984037e-09,0,1.000057042984037e-09,-2.833974076257722e-06,1.000057042984037e-09,1,1.000057042984037e-09,1.791554019154226e-05,1.000057042984037e-09,2.48123809243055e-05,1.000057042984037e-09,2.481627333036031e-05,1.000057042984037e-09,2.15719201932905e-05,1.000057042984037e-09,-0.04678567728108456,1.000057042984037e-09,7.258556658880935e-08,1.000057042984037e-09,0,1.000057042984037e-09,0
1.00006011134232e-09,0,1.00006011134232e-09,0,1.00006011134232e-09,0,1.00006011134232e-09,-2.384716693775876e-06,1.00006011134232e-09,-2.82666909651683e-06,1.00006011134232e-09,0,1.00006011134232e-09,-2.827062000441657e-06,1.00006011134232e-09,1,1.00006011134232e-09,1.823610440168483e-05,1.00006011134232e-09,2.520596191710104e-05,1.00006011134232e-09,2.520987704003601e-05,1.00006011134232e-09,2.186848129766817e-05,1.00006011134232e-09,-0.04678561426860032,1.00006011134232e-09,7.295519026243468e-08,1.00006011134232e-09,0,1.00006011134232e-09,0
1.000066248058886e-09,0,1.000066248058886e-09,0,1.000066248058886e-09,0,1.000066248058886e-09,-2.346810742702981e-06,1.000066248058886e-09,-2.812632366199775e-06,1.000066248058886e-09,0,1.000066248058886e-09,-2.813044233728496e-06,1.000066248058886e-09,1,1.000066248058886e-09,1.888884364298101e-05,1.000066248058886e-09,2.600020941093831e-05,1.000066248058886e-09,2.600407123735292e-05,1.000066248058886e-09,2.24634890059446e-05,1.000066248058886e-09,-0.04678548454893021,1.000066248058886e-09,7.366506608277831e-08,1.000066248058886e-09,0,1.000066248058886e-09,0
1.000078455977537e-09,0,1.000078455977537e-09,0,1.000078455977537e-09,0,1.000078455977537e-09,-2.269290395282118e-06,1.000078455977537e-09,-2.78383528746924e-06,1.000078455977537e-09,0,1.000078455977537e-09,-2.784286087660116e-06,1.000078455977537e-09,1,1.000078455977537e-09,2.023310415739608e-05,1.000078455977537e-09,2.764292115346837e-05,1.000078455977537e-09,2.764682093376498e-05,1.000078455977537e-09,2.369052665406311e-05,1.000078455977537e-09,-0.04678520105672356,1.000078455977537e-09,7.514493407865789e-08,1.000078455977537e-09,0,1.000078455977537e-09,0
1.000089227988769e-09,0,1.000089227988769e-09,0,1.000089227988769e-09,0,1.000089227988769e-09,-2.197228156640783e-06,1.000089227988769e-09,-2.756496864745765e-06,1.000089227988769e-09,0,1.000089227988769e-09,-2.756981328251272e-06,1.000089227988769e-09,1,1.000089227988769e-09,2.147311281727212e-05,1.000089227988769e-09,2.915456397229546e-05,1.000089227988769e-09,2.915853335112476e-05,1.000089227988769e-09,2.481514275359755e-05,1.000089227988769e-09,-0.0467849002861102,1.000089227988769e-09,7.660380672184336e-08,1.000089227988769e-09,0,1.000089227988769e-09,0
1.0001e-09,0,1.0001e-09,0,1.0001e-09,0,1.0001e-09,-2.118122045150081e-06,1.0001e-09,-2.724204706229242e-06,1.0001e-09,0,1.0001e-09,-2.724720281649863e-06,1.0001e-09,1,1.0001e-09,2.278504942850134e-05,1.0001e-09,3.074512312919064e-05,1.0001e-09,3.074962009191205e-05,1.0001e-09,2.60017457107871e-05,1.0001e-09,-0.04678447009506574,1.0001e-09,7.851789631774965e-08,1.0001e-09,0,1.0001e-09,0
1.00010075e-09,0,1.00010075e-09,0,1.00010075e-09,0,1.00010075e-09,-2.113478288930009e-06,1.00010075e-09,-2.722744276838723e-06,1.00010075e-09,0,1.00010075e-09,-2.723271659573061e-06,1.00010075e-09,1,1.00010075e-09,2.287932943286152e-05,1.00010075e-09,3.085086312583744e-05,1.00010075e-09,3.085530382395504e-05,1.00010075e-09,2.607832588599536e-05,1.00010075e-09,-0.04678447705177469,1.00010075e-09,7.825262521244491e-08,1.00010075e-09,0,1.00010075e-09,0
1.00010225e-09,0,1.00010225e-09,0,1.00010225e-09,0,1.00010225e-09,-2.107497004819446e-06,1.00010225e-09,-2.722507001531363e-06,1.00010225e-09,0,1.00010225e-09,-2.723076402565621e-06,1.00010225e-09,1,1.00010225e-09,2.306563018689234e-05,1.00010225e-09,3.10453599444933e-05,1.00010225e-09,3.104951878900007e-05,1.00010225e-09,2.621409428254132e-05,1.00010225e-09,-0.04678456612986914,1.00010225e-09,7.71991659113094e-08,1.00010225e-09,0,1.00010225e-09,0
1.000103e-09,0,1.000103e-09,0,1.000103e-09,0,1.000103e-09,-2.104290071218727e-06,1.000103e-09,-2.724238826071547e-06,1.000103e-09,0,1.000103e-09,-2.72483848692273e-06,1.000103e-09,1,1.000103e-09,2.332887511303462e-05,1.000103e-09,3.143153807938383e-05,1.000103e-09,3.142853757398727e-05,1.000103e-09,2.641398749060042e-05,1.000103e-09,-0.04678465096619071,1.000103e-09,7.65023216569723e-08,1.000103e-09,0,1.000103e-09,0
