/D1 (d_del=1e-10) X,/D1 (d_del=1e-10) Y,/D1 (d_del=2e-10) X,/D1 (d_del=2e-10) Y,/D1 (d_del=3e-10) X,/D1 (d_del=3e-10) Y,/I0/output (d_del=1e-10) X,/I0/output (d_del=1e-10) Y,/I0/output (d_del=2e-10) X,/I0/output (d_del=2e-10) Y,/I0/output (d_del=3e-10) X,/I0/output (d_del=3e-10) Y,/V0/MINUS (d_del=1e-10) X,/V0/MINUS (d_del=1e-10) Y,/V0/MINUS (d_del=2e-10) X,/V0/MINUS (d_del=2e-10) Y,/V0/MINUS (d_del=3e-10) X,/V0/MINUS (d_del=3e-10) Y
8.076321059620541e-10,1,8.03705640375952e-10,1,6.38436692713142e-10,1,8.076321059620541e-10,5.136082131848271e-08,8.03705640375952e-10,-4.453078939637261e-08,6.38436692713142e-10,1.270109607215451e-06,8.076321059620541e-10,9.014818494883929e-09,8.03705640375952e-10,1.426022667885038e-09,6.38436692713142e-10,1.084954232355228e-08
9e-10,1,9.018528201879761e-10,1,6.830116965516481e-10,1,9e-10,-5.114293157978522e-08,9.018528201879761e-10,4.451568905348887e-08,6.830116965516481e-10,4.124780356018171e-07,9e-10,-9.00476659074348e-09,9.018528201879761e-10,-1.418539718162881e-09,6.830116965516481e-10,3.597923137337369e-09
9.015625e-10,0.9843749999999999,1e-09,1,7.441528563453656e-10,1,9.015625e-10,8.916648596994345e-07,1e-09,-4.434548438211919e-08,7.441528563453656e-10,1.810185433978474e-07,9.015625e-10,7.231139554304467e-07,1e-09,1.426704658720369e-09,7.441528563453656e-10,1.499023854159703e-09
9.046875e-10,0.9531249999999996,1.0015625e-09,0.9921875000000004,8.170294810565281e-10,1,9.046875e-10,8.452602938155596e-07,1.0015625e-09,4.455046904714401e-07,8.170294810565281e-10,-4.121055564263668e-08,9.046875e-10,7.196915925955899e-07,1.0015625e-09,3.61819725031665e-07,8.170294810565281e-10,-2.899493132779628e-10
9.109375000000001e-10,0.890624999999999,1.0046875e-09,0.9765625000000013,9.245802462012316e-10,1,9.109375000000001e-10,7.71639038560264e-07,1.0046875e-09,4.212562510875376e-07,9.245802462012316e-10,5.789055450936211e-08,9.109375000000001e-10,7.085968954288003e-07,1.0046875e-09,3.615613491427196e-07,9.245802462012316e-10,4.39910217341516e-10
9.234375000000002e-10,0.7656249999999979,1.010937499999999e-09,0.9453125000000031,1.012290123100616e-09,1,9.234375000000002e-10,7.18733538464241e-07,1.010937499999999e-09,3.773546478817868e-07,1.012290123100616e-09,-5.84661786800822e-08,9.234375000000002e-10,6.930176694125258e-07,1.010937499999999e-09,3.582563331611287e-07,1.012290123100616e-09,-4.376435266724893e-10
9.484375000000005e-10,0.5156249999999947,1.023437499999999e-09,0.8828125000000067,1.1e-09,1,9.484375000000005e-10,-1.203439158725571e-07,1.023437499999999e-09,3.226776534010025e-07,1.1e-09,5.842685066535082e-08,9.484375000000005e-10,1.657145070957164e-06,1.023437499999999e-09,3.537812859821572e-07,1.1e-09,4.442480731707304e-10
9.742187500000004e-10,0.257812499999996,1.048437499999997e-09,0.7578125000000139,1.1025e-09,0.9916666666666669,9.742187500000004e-10,-1.992111111499702e-05,1.048437499999997e-09,2.911565061497263e-07,1.1025e-09,2.922362849458212e-07,9.742187500000004e-10,2.249415179133388e-05,1.048437499999997e-09,3.466767539856613e-07,1.1025e-09,2.413460000669797e-07
9.871093750000001e-10,0.1289062499999987,1.098437499999994e-09,0.5078125000000282,1.1075e-09,0.9750000000000006,9.871093750000001e-10,-3.932545511228352e-05,1.098437499999994e-09,-6.177274488068155e-07,1.1075e-09,2.664661083592706e-07,9.871093750000001e-10,4.197255521553187e-05,1.098437499999994e-09,1.40568744533685e-06,1.1075e-09,2.406570678554855e-07
1e-09,0,1.128046521822768e-09,0.3597673908861582,1.1175e-09,0.9416666666666681,1e-09,-5.971581433308179e-05,1.128046521822768e-09,-8.052607156656996e-06,1.1175e-09,2.250114459378418e-07,1e-09,6.293414521484216e-05,1.128046521822768e-09,9.22106681981088e-06,1.1175e-09,2.386451601339113e-07
1.00104643973862e-09,0,1.151976980620819e-09,0.2401150968959039,1.137499999999999e-09,0.875000000000003,1.00104643973862e-09,-6.021049802031545e-05,1.151976980620819e-09,-2.25396411103711e-05,1.137499999999999e-09,1.776222661611735e-07,1.00104643973862e-09,6.098200004481312e-05,1.151976980620819e-09,2.387256542326884e-05,1.137499999999999e-09,2.349480610379367e-07
1.003139319215859e-09,0,1.177373404885171e-09,0.1131329755741474,1.177499999999998e-09,0.7416666666666729,1.003139319215859e-09,-6.000685256929074e-05,1.177373404885171e-09,-4.147550002708288e-05,1.177499999999998e-09,1.623881225241811e-07,1.003139319215859e-09,6.074554471409495e-05,1.177373404885171e-09,4.319918671419827e-05,1.177499999999998e-09,2.332453280757378e-07
1.006919401990676e-09,0,1.2e-09,0,1.257499999999996e-09,0.4750000000000126,1.006919401990676e-09,-5.961479627736281e-05,1.2e-09,-5.790797287739052e-05,1.257499999999996e-09,-1.452341293742341e-06,1.006919401990676e-09,6.037316056024469e-05,1.2e-09,5.97328557301774e-05,1.257499999999996e-09,2.029445873794668e-06
1.014479567540308e-09,0,1.202431320115676e-09,0,1.290336253275147e-09,0.3655458224161766,1.014479567540308e-09,-5.882344201403418e-05,1.202431320115676e-09,-5.796957183152687e-05,1.290336253275147e-09,-7.618285303510686e-06,1.014479567540308e-09,5.953759496711865e-05,1.202431320115676e-09,5.868480209451328e-05,1.290336253275147e-09,8.430603046776559e-06
