/Clk (d_del=4.225641e-10) X,/Clk (d_del=4.225641e-10) Y,/Clk (d_del=4.312821e-10) X,/Clk (d_del=4.312821e-10) Y,/D (d_del=4.225641e-10) X,/D (d_del=4.225641e-10) Y,/D (d_del=4.312821e-10) X,/D (d_del=4.312821e-10) Y,/Q (d_del=4.225641e-10) X,/Q (d_del=4.225641e-10) Y,/Q (d_del=4.312821e-10) X,/Q (d_del=4.312821e-10) Y
1.372107933972167e-11,0.2744215867944333,1.372107933972167e-11,0.2744215867944333,1.372107933972167e-11,0,1.372107933972167e-11,0,1.372107933972167e-11,0.5077348940550667,1.372107933972167e-11,0.5077348940550667
2.056641740243239e-11,0.4113283480486478,2.056641740243239e-11,0.4113283480486478,2.056641740243239e-11,0,2.056641740243239e-11,0,2.056641740243239e-11,0.5129061651293964,2.056641740243239e-11,0.5129061651293964
2.706411833241799e-11,0.5412823666483597,2.706411833241799e-11,0.5412823666483597,2.706411833241799e-11,0,2.706411833241799e-11,0,2.706411833241799e-11,0.5109133304331955,2.706411833241799e-11,0.5109133304331955
3.078737196590969e-11,0.6157474393181938,3.078737196590969e-11,0.6157474393181938,3.078737196590969e-11,0,3.078737196590969e-11,0,3.078737196590969e-11,0.4996720238038965,3.078737196590969e-11,0.4996720238038965
3.425324281963366e-11,0.6850648563926732,3.425324281963366e-11,0.6850648563926732,3.425324281963366e-11,0,3.425324281963366e-11,0,3.425324281963366e-11,0.4736755526985302,3.425324281963366e-11,0.4736755526985302
3.780622448712845e-11,0.756124489742569,3.780622448712845e-11,0.756124489742569,3.780622448712845e-11,0,3.780622448712845e-11,0,3.780622448712845e-11,0.4255269811069226,3.780622448712845e-11,0.4255269811069226
4.120590090276522e-11,0.8241180180553044,4.120590090276522e-11,0.8241180180553044,4.120590090276522e-11,0,4.120590090276522e-11,0,4.120590090276522e-11,0.3588531190170425,4.120590090276522e-11,0.3588531190170425
4.437651497278921e-11,0.8875302994557842,4.437651497278921e-11,0.8875302994557842,4.437651497278921e-11,0,4.437651497278921e-11,0,4.437651497278921e-11,0.2829141024081822,4.437651497278921e-11,0.2829141024081822
4.742105905773062e-11,0.9484211811546124,4.742105905773062e-11,0.9484211811546124,4.742105905773062e-11,0,4.742105905773062e-11,0,4.742105905773062e-11,0.2062195784061588,4.742105905773062e-11,0.2062195784061588
5e-11,1,5e-11,1,5e-11,0,5e-11,0,5e-11,0.1486345990597116,5e-11,0.1486345990597116
5.003010606908107e-11,1,5.003010606908107e-11,1,5.003010606908107e-11,0,5.003010606908107e-11,0,5.003010606908107e-11,0.1479625678299544,5.003010606908107e-11,0.1479625678299544
5.009031820724322e-11,1,5.009031820724322e-11,1,5.009031820724322e-11,0,5.009031820724322e-11,0,5.009031820724322e-11,0.1466099223498748,5.009031820724322e-11,0.1466099223498748
5.021074248356751e-11,1,5.021074248356751e-11,1,5.021074248356751e-11,0,5.021074248356751e-11,0,5.021074248356751e-11,0.1439177642868421,5.021074248356751e-11,0.1439177642868421
5.04515910362161e-11,1,5.04515910362161e-11,1,5.04515910362161e-11,0,5.04515910362161e-11,0,5.04515910362161e-11,0.138598756330942,5.04515910362161e-11,0.138598756330942
5.093328814151327e-11,1,5.093328814151327e-11,1,5.093328814151327e-11,0,5.093328814151327e-11,0,5.093328814151327e-11,0.1282129011245808,5.093328814151327e-11,0.1282129011245808
