/Q (d_del=4.574359e-10) X,/Q (d_del=4.574359e-10) Y,/Q (d_del=4.623077e-10) X,/Q (d_del=4.623077e-10) Y,/D (d_del=4.574359e-10) X,/D (d_del=4.574359e-10) Y,/D (d_del=4.623077e-10) X,/D (d_del=4.623077e-10) Y,/Clk (d_del=4.574359e-10) X,/Clk (d_del=4.574359e-10) Y,/Clk (d_del=4.623077e-10) X,/Clk (d_del=4.623077e-10) Y
5.154284515905479e-11,0.1135937266892937,5.154284515905479e-11,0.1135937266892937,5.154284515905479e-11,1,5.154284515905479e-11,1,5.154284515905479e-11,1,5.154284515905479e-11,1
5.244390724941669e-11,0.09612182445035854,5.244390724941669e-11,0.09612182445035854,5.244390724941669e-11,1,5.244390724941669e-11,1,5.244390724941669e-11,1,5.244390724941669e-11,1
5.376011951379298e-11,0.07450627131966306,5.376011951379298e-11,0.07450627131966306,5.376011951379298e-11,1,5.376011951379298e-11,1,5.376011951379298e-11,1,5.376011951379298e-11,1
5.551723972742902e-11,0.05266793513333924,5.551723972742902e-11,0.05266793513333924,5.551723972742902e-11,1,5.551723972742902e-11,1,5.551723972742902e-11,1,5.551723972742902e-11,1
5.741492336353075e-11,0.03652516315322686,5.741492336353075e-11,0.03652516315322686,5.741492336353075e-11,1,5.741492336353075e-11,1,5.741492336353075e-11,1,5.741492336353075e-11,1
5.958891709685211e-11,0.02526787479499677,5.958891709685211e-11,0.02526787479499677,5.958891709685211e-11,1,5.958891709685211e-11,1,5.958891709685211e-11,1,5.958891709685211e-11,1
6.134715143929172e-11,0.02102436495118699,6.134715143929172e-11,0.02102436495118699,6.134715143929172e-11,1,6.134715143929172e-11,1,6.134715143929172e-11,1,6.134715143929172e-11,1
6.265362915224526e-11,0.02079768466294779,6.265362915224526e-11,0.02079768466294779,6.265362915224526e-11,1,6.265362915224526e-11,1,6.265362915224526e-11,1,6.265362915224526e-11,1
6.39846302891186e-11,0.02340666777402132,6.39846302891186e-11,0.02340666777402132,6.39846302891186e-11,1,6.39846302891186e-11,1,6.39846302891186e-11,1,6.39846302891186e-11,1
6.504182277948398e-11,0.02757405513380691,6.504182277948398e-11,0.02757405513380691,6.504182277948398e-11,1,6.504182277948398e-11,1,6.504182277948398e-11,1,6.504182277948398e-11,1
6.614846675654115e-11,0.03388761346948297,6.614846675654115e-11,0.03388761346948297,6.614846675654115e-11,1,6.614846675654115e-11,1,6.614846675654115e-11,1,6.614846675654115e-11,1
6.712270453217097e-11,0.04100842770256459,6.712270453217097e-11,0.04100842770256459,6.712270453217097e-11,1,6.712270453217097e-11,1,6.712270453217097e-11,1,6.712270453217097e-11,1
6.796574081600999e-11,0.04827088592330696,6.796574081600999e-11,0.04827088592330696,6.796574081600999e-11,1,6.796574081600999e-11,1,6.796574081600999e-11,1,6.796574081600999e-11,1
6.917198030536425e-11,0.06023820036166897,6.917198030536425e-11,0.06023820036166897,6.917198030536425e-11,1,6.917198030536425e-11,1,6.917198030536425e-11,1,6.917198030536425e-11,1
7.006233993883149e-11,0.0702479437509196,7.006233993883149e-11,0.0702479437509196,7.006233993883149e-11,1,7.006233993883149e-11,1,7.006233993883149e-11,1,7.006233993883149e-11,1
7.117946722045642e-11,0.08414332257393838,7.117946722045642e-11,0.08414332257393838,7.117946722045642e-11,1,7.117946722045642e-11,1,7.117946722045642e-11,1,7.117946722045642e-11,1
7.259691894526787e-11,0.1036159995326319,7.259691894526787e-11,0.1036159995326319,7.259691894526787e-11,1,7.259691894526787e-11,1,7.259691894526787e-11,1,7.259691894526787e-11,1
7.450911349488973e-11,0.1321165439786254,7.450911349488973e-11,0.1321165439786254,7.450911349488973e-11,1,7.450911349488973e-11,1,7.450911349488973e-11,1,7.450911349488973e-11,1
7.684440871509118e-11,0.1686510212413747,7.684440871509118e-11,0.1686510212413747,7.684440871509118e-11,1,7.684440871509118e-11,1,7.684440871509118e-11,1,7.684440871509118e-11,1
7.9367532862351e-11,0.2085350265205658,7.9367532862351e-11,0.2085350265205658,7.9367532862351e-11,1,7.9367532862351e-11,1,7.9367532862351e-11,1,7.9367532862351e-11,1
8.13355023663672e-11,0.2393268087935276,8.13355023663672e-11,0.2393268087935276,8.13355023663672e-11,1,8.13355023663672e-11,1,8.13355023663672e-11,1,8.13355023663672e-11,1
8.329533497742217e-11,0.2695870119151186,8.329533497742217e-11,0.2695870119151186,8.329533497742217e-11,1,8.329533497742217e-11,1,8.329533497742217e-11,1,8.329533497742217e-11,1
8.545320012464149e-11,0.3024341286995635,8.545320012464149e-11,0.3024341286995635,8.545320012464149e-11,1,8.545320012464149e-11,1,8.545320012464149e-11,1,8.545320012464149e-11,1
8.746865380111636e-11,0.3325285035152903,8.746865380111636e-11,0.3325285035152903,8.746865380111636e-11,1,8.746865380111636e-11,1,8.746865380111636e-11,1,8.746865380111636e-11,1
8.952662357782395e-11,0.3623848026591266,8.952662357782395e-11,0.3623848026591266,8.952662357782395e-11,1,8.952662357782395e-11,1,8.952662357782395e-11,1,8.952662357782395e-11,1
9.193538338075154e-11,0.3957011854814842,9.193538338075154e-11,0.3957011854814842,9.193538338075154e-11,1,9.193538338075154e-11,1,9.193538338075154e-11,1,9.193538338075154e-11,1
9.505021837484318e-11,0.4352981622946897,9.505021837484318e-11,0.4352981622946897,9.505021837484318e-11,1,9.505021837484318e-11,1,9.505021837484318e-11,1,9.505021837484318e-11,1
9.882958872113866e-11,0.4771929385386304,9.882958872113866e-11,0.4771929385386304,9.882958872113866e-11,1,9.882958872113866e-11,1,9.882958872113866e-11,1,9.882958872113866e-11,1
1.037808705619318e-10,0.5230130435652666,1.037808705619318e-10,0.5230130435652666,1.037808705619318e-10,1,1.037808705619318e-10,1,1.037808705619318e-10,1,1.037808705619318e-10,1
1.103938118469987e-10,0.5780303630781319,1.103938118469987e-10,0.5780303630781319,1.103938118469987e-10,1,1.103938118469987e-10,1,1.103938118469987e-10,1,1.103938118469987e-10,1
1.170549311977314e-10,0.6476637169113588,1.170549311977314e-10,0.6476637169113588,1.170549311977314e-10,1,1.170549311977314e-10,1,1.170549311977314e-10,1,1.170549311977314e-10,1
1.226386713496088e-10,0.7426711463849603,1.226386713496088e-10,0.7426711463849603,1.226386713496088e-10,1,1.226386713496088e-10,1,1.226386713496088e-10,1,1.226386713496088e-10,1
1.265786100340251e-10,0.8304230893430853,1.265786100340251e-10,0.8304230893430853,1.265786100340251e-10,1,1.265786100340251e-10,1,1.265786100340251e-10,1,1.265786100340251e-10,1
1.296965333299515e-10,0.8892292109261222,1.296965333299515e-10,0.8892292109261222,1.296965333299515e-10,1,1.296965333299515e-10,1,1.296965333299515e-10,1,1.296965333299515e-10,1
1.312822309552083e-10,0.912003147632489,1.312822309552083e-10,0.912003147632489,1.312822309552083e-10,1,1.312822309552083e-10,1,1.312822309552083e-10,1,1.312822309552083e-10,1
1.324449585361657e-10,0.9267583435263573,1.324449585361657e-10,0.9267583435263573,1.324449585361657e-10,1,1.324449585361657e-10,1,1.324449585361657e-10,1,1.324449585361657e-10,1
1.33726333662657e-10,0.9408430758581751,1.33726333662657e-10,0.9408430758581751,1.33726333662657e-10,1,1.33726333662657e-10,1,1.33726333662657e-10,1,1.33726333662657e-10,1
1.348998672526008e-10,0.9520123591490566,1.348998672526008e-10,0.9520123591490566,1.348998672526008e-10,1,1.348998672526008e-10,1,1.348998672526008e-10,1,1.348998672526008e-10,1
1.368074371425386e-10,0.966754773982366,1.368074371425386e-10,0.966754773982366,1.368074371425386e-10,1,1.368074371425386e-10,1,1.368074371425386e-10,1,1.368074371425386e-10,1
1.381807783844731e-10,0.9748356717745538,1.381807783844731e-10,0.9748356717745538,1.381807783844731e-10,1,1.381807783844731e-10,1,1.381807783844731e-10,1,1.381807783844731e-10,1
1.394909555067252e-10,0.9807401377698153,1.394909555067252e-10,0.9807401377698153,1.394909555067252e-10,1,1.394909555067252e-10,1,1.394909555067252e-10,1,1.394909555067252e-10,1
1.406315962718544e-10,0.9846027015099132,1.406315962718544e-10,0.9846027015099132,1.406315962718544e-10,1,1.406315962718544e-10,1,1.406315962718544e-10,1,1.406315962718544e-10,1
1.416262313931047e-10,0.9871452230915518,1.416262313931047e-10,0.9871452230915518,1.416262313931047e-10,1,1.416262313931047e-10,1,1.416262313931047e-10,1,1.416262313931047e-10,1
1.425656797305119e-10,0.9890404937229833,1.425656797305119e-10,0.9890404937229833,1.425656797305119e-10,1,1.425656797305119e-10,1,1.425656797305119e-10,1,1.425656797305119e-10,1
1.437582726238692e-10,0.9909914853192542,1.437582726238692e-10,0.9909914853192542,1.437582726238692e-10,1,1.437582726238692e-10,1,1.437582726238692e-10,1,1.437582726238692e-10,1
1.446862673952858e-10,0.9922505010516424,1.446862673952858e-10,0.9922505010516424,1.446862673952858e-10,1,1.446862673952858e-10,1,1.446862673952858e-10,1,1.446862673952858e-10,1
1.459653858956463e-10,0.9937032623839143,1.459653858956463e-10,0.9937032623839143,1.459653858956463e-10,1,1.459653858956463e-10,1,1.459653858956463e-10,1,1.459653858956463e-10,1
1.47715262964946e-10,0.9952643259694932,1.47715262964946e-10,0.9952643259694932,1.47715262964946e-10,1,1.47715262964946e-10,1,1.47715262964946e-10,1,1.47715262964946e-10,1
1.500182213696674e-10,0.9967322789848364,1.500182213696674e-10,0.9967322789848364,1.500182213696674e-10,1,1.500182213696674e-10,1,1.500182213696674e-10,1,1.500182213696674e-10,1
1.529336240254917e-10,0.9978997492731667,1.529336240254917e-10,0.9978997492731667,1.529336240254917e-10,1,1.529336240254917e-10,1,1.529336240254917e-10,1,1.529336240254917e-10,1
1.567649631504825e-10,0.9987051475861621,1.567649631504825e-10,0.9987051475861621,1.567649631504825e-10,1,1.567649631504825e-10,1,1.567649631504825e-10,1,1.567649631504825e-10,1
1.617110041602359e-10,0.9991388584296163,1.617110041602359e-10,0.9991388584296163,1.617110041602359e-10,1,1.617110041602359e-10,1,1.617110041602359e-10,1,1.617110041602359e-10,1
1.682084760584422e-10,0.9993383752222311,1.682084760584422e-10,0.9993383752222311,1.682084760584422e-10,1,1.682084760584422e-10,1,1.682084760584422e-10,1,1.682084760584422e-10,1
1.777132789192168e-10,0.9994572787762988,1.777132789192168e-10,0.9994572787762988,1.777132789192168e-10,1,1.777132789192168e-10,1,1.777132789192168e-10,1,1.777132789192168e-10,1
1.938082421927125e-10,0.9995775347822149,1.938082421927125e-10,0.9995775347822149,1.938082421927125e-10,1,1.938082421927125e-10,1,1.938082421927125e-10,1,1.938082421927125e-10,1
2.25998168739704e-10,0.9997161079430753,2.25998168739704e-10,0.9997161079430753,2.25998168739704e-10,1,2.25998168739704e-10,1,2.25998168739704e-10,1,2.25998168739704e-10,1
